Interest,Work_Style,Strengths,Communication_Skills,Leadership_Skills,Teamwork_Skills,Decision_Making,Aptitude_Level,Field_of_Study,Years_of_Experience,Adaptability,Time_Management,Problem_Solving,Emotional_Intelligence,Stress_Tolerance,Learning_Style,Certifications_Count,Technical_Skill_Level,Career_Goals,Location_Preference,Willing_to_Relocate,Highest_Degree,GPA,Industry_of_Experience,Internship_Experience,Remote_Work_Experience,Risk_Tolerance,Routine_vs_Dynamic_Work,Introvert_Extrovert_Score,Creativity_Score,Courses_Completed,Work_Hour_Flexibility,Workplace_Preference,Work_Life_Balance_Preference,Salary_Expectation,Value_Priority,LinkedIn_Portfolio,GitHub_Repos,Public_Speaking_Experience,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Predicted_Career_Field
Engineering,Independent,Creative,Low,Medium,Low,Low,Low,Law,8,High,Medium,High,Low,High,Visual,2,Medium,Business,Urban,No,PhD,3.15,Tech,No,No,Medium,Routine,Medium,Medium,5,Shifts,Remote,High,60kâ€“100k,Recognition,No,3,Yes,High,High,Low,Low,Low,Civil Engineer
Architecture,Independent,Strategic,Low,Medium,Medium,Low,Medium,Information Technology,9,Medium,Medium,High,High,Medium,Reading/Writing,0,Medium,Marketing,Flexible,Yes,PhD,2.42,Law,Yes,Yes,High,Dynamic,High,Medium,5,Shifts,Remote,Medium,<30k,Helping Others,No,7,No,Medium,High,Medium,Medium,Medium,Hotel Manager
Architecture,Flexible,Creative,Low,Low,Medium,Low,Low,Physics,1,Medium,Medium,Low,Low,Low,Kinesthetic,1,Low,Human Resources,Rural,No,PhD,3.29,Finance,Yes,No,Low,Routine,Medium,Medium,3,9â€“5,On-site,High,>100k,Recognition,No,1,No,Low,Low,High,Medium,High,Mechanical Engineer
Finance,Collaborative,Practical,Medium,Medium,High,High,Low,Architecture,7,Medium,Low,Low,Low,Medium,Reading/Writing,1,Low,Business,Rural,No,Diploma,2.83,Law,No,No,Medium,Routine,High,High,6,Shifts,On-site,Medium,30kâ€“60k,Innovation,Yes,12,No,Low,Medium,High,Medium,High,Mathematics
Doctor,Flexible,Strategic,High,Medium,Medium,Medium,Medium,Political Science,14,Medium,High,Medium,High,High,Visual,2,High,Education,Urban,Yes,Masters,3.28,Finance,Yes,No,Low,Dynamic,Medium,Low,4,Shifts,Remote,Low,30kâ€“60k,Recognition,No,7,No,Low,Low,Medium,High,Low,Civil Engineer
Sales,Flexible,Creative,Medium,High,Low,High,Low,Sociology,5,High,Medium,Low,Low,Medium,Visual,4,Medium,Architecture,Flexible,No,Bachelors,3.64,Construction,No,Yes,High,Routine,Low,Medium,3,Freelance,Hybrid,Low,>100k,Security,No,3,Yes,Low,Low,High,Medium,High,Technical Writer
Arts,Collaborative,Strategic,Medium,Medium,Low,Low,Medium,Physics,20,High,High,High,High,Medium,Visual,4,Low,Consulting,Urban,No,Masters,2.26,Healthcare,Yes,No,Medium,Dynamic,Medium,Medium,7,Freelance,Remote,Low,>100k,Helping Others,No,14,No,High,Medium,Medium,High,Low,Mechanical Engineer
Legal,Flexible,Practical,Low,High,Medium,Medium,Low,Civil Engineering,12,Medium,Medium,Medium,Low,Medium,Reading/Writing,2,High,Lawyer,Flexible,No,PhD,3.41,Law,Yes,No,Medium,Dynamic,High,Low,2,9â€“5,Hybrid,Medium,>100k,Recognition,Yes,4,Yes,High,High,Medium,Medium,Medium,Game Developer
Journalism,Collaborative,Practical,Medium,Low,Medium,Medium,Low,Sociology,14,Medium,Low,High,High,High,Reading/Writing,0,Medium,Business,Flexible,No,Masters,2.12,Arts,No,No,Low,Routine,High,Medium,0,9â€“5,Hybrid,Medium,60kâ€“100k,Security,Yes,8,Yes,High,High,Medium,Medium,Medium,Astronomer
Consulting,Flexible,Analytical,High,Low,Medium,Low,Low,Mathematics,11,Medium,High,Low,Low,Low,Visual,0,Medium,Doctor,Urban,No,Bachelors,2.56,Retail,Yes,No,Low,Routine,Low,High,5,Freelance,Hybrid,High,30kâ€“60k,Recognition,Yes,8,No,Low,Medium,Low,Low,Medium,Clinical Psychologist
Public Relations,Independent,Creative,Medium,Medium,High,Medium,Low,Business Administration,1,Low,Medium,Low,Medium,Low,Auditory,4,Low,Engineering,Urban,Yes,Bachelors,3.72,Education,Yes,Yes,High,Dynamic,Low,Low,5,Shifts,Hybrid,Medium,<30k,Recognition,No,15,No,Low,High,High,Low,High,Design
Design,Flexible,Practical,High,Low,Medium,Medium,Medium,Information Technology,0,Medium,Medium,Medium,Medium,Medium,Reading/Writing,4,High,Journalism,Urban,Yes,PhD,3.17,Healthcare,No,Yes,High,Routine,Medium,Low,4,9â€“5,Hybrid,Low,30kâ€“60k,Helping Others,Yes,10,No,Medium,Medium,High,Medium,Low,Business
Teaching,Independent,Strategic,High,High,High,Low,Low,Chemistry,6,Medium,Medium,Medium,High,Low,Auditory,4,Low,Finance,Rural,Yes,Diploma,3.86,Finance,No,No,Low,Routine,Low,Medium,5,Freelance,Hybrid,Medium,30kâ€“60k,Security,Yes,6,Yes,Medium,Low,Low,Low,Medium,Entrepreneur
Teaching,Flexible,Analytical,Medium,High,Medium,High,Medium,Architecture,19,High,Low,High,Low,Low,Reading/Writing,3,High,Education,Urban,No,PhD,3.14,Construction,No,No,Medium,Routine,Medium,Low,8,9â€“5,Hybrid,Medium,>100k,Helping Others,No,17,Yes,High,Medium,High,Medium,Medium,Civil Engineer
Engineering,Collaborative,Strategic,Medium,Medium,Low,Low,Medium,Hospitality Management,1,Medium,Low,Medium,Low,Medium,Reading/Writing,2,High,Technology,Urban,Yes,Bachelors,2.9,Arts,No,No,Medium,Routine,Low,Low,7,Shifts,On-site,High,30kâ€“60k,Innovation,No,18,No,High,Low,Medium,High,Low,Software Developer
Legal,Independent,Creative,Low,High,Medium,Low,Medium,Business Administration,8,Medium,High,Medium,Low,Medium,Reading/Writing,4,Low,Human Resources,Urban,Yes,Bachelors,3.31,Finance,No,Yes,Low,Routine,Low,Low,7,Shifts,On-site,High,30kâ€“60k,Helping Others,No,18,No,Medium,High,High,Low,Medium,Civil Engineer
Medical,Flexible,Analytical,Low,High,High,Medium,High,Computer Science,13,Low,High,Medium,Low,Low,Kinesthetic,5,Low,Marketing,Urban,Yes,Bachelors,2.49,Finance,No,Yes,High,Routine,Medium,High,4,9â€“5,On-site,High,30kâ€“60k,Recognition,Yes,3,No,Low,High,Medium,High,Medium,Teaching
Human Resources,Independent,Creative,Medium,High,High,Low,Low,Fine Arts,11,Medium,Medium,High,High,Medium,Kinesthetic,1,High,Medical,Urban,Yes,Bachelors,2.84,Arts,No,No,High,Dynamic,High,High,0,Shifts,On-site,Medium,>100k,Recognition,Yes,16,No,High,Low,Low,Low,High,Dentist
Legal,Flexible,Analytical,High,Low,Low,Medium,Low,Hospitality Management,1,Low,High,Medium,Medium,Medium,Reading/Writing,4,Medium,Hospitality,Flexible,Yes,Masters,2.46,Education,No,No,High,Dynamic,Medium,Medium,8,Shifts,On-site,Low,30kâ€“60k,Helping Others,Yes,3,Yes,Low,Low,Low,Medium,High,Education
Legal,Independent,Creative,Low,Medium,Medium,Low,Low,Graphic Design,5,High,Low,High,Low,High,Kinesthetic,3,Medium,Arts,Rural,Yes,PhD,3.05,Education,Yes,No,High,Dynamic,Low,Medium,7,Freelance,On-site,Medium,30kâ€“60k,Security,No,13,No,High,Medium,Low,Medium,Medium,Arts
Business,Flexible,Creative,Medium,Low,Medium,High,Medium,Environmental Science,7,Low,Low,Low,Medium,Low,Reading/Writing,5,Low,Journalism,Rural,Yes,PhD,3.17,Tech,No,No,Medium,Dynamic,Low,High,0,Freelance,Hybrid,High,60kâ€“100k,Recognition,Yes,14,Yes,Low,Low,Medium,Medium,Low,Human Resources
Marketing,Flexible,Practical,Low,High,Medium,Low,High,Political Science,3,High,High,High,High,Low,Auditory,0,Low,Legal,Urban,No,Bachelors,3.96,Healthcare,Yes,Yes,Medium,Routine,Medium,Low,8,9â€“5,On-site,High,30kâ€“60k,Security,Yes,20,No,Medium,High,Medium,Medium,High,Marketing
Hospitality,Flexible,Strategic,Medium,Low,Medium,High,Low,Biology,11,High,Medium,Medium,Low,High,Kinesthetic,2,Medium,Mathematics,Flexible,No,Masters,2.37,Education,Yes,No,Medium,Routine,Medium,High,0,Freelance,Remote,High,60kâ€“100k,Security,No,14,Yes,Medium,Medium,Medium,Low,Medium,Event Planner
Public Relations,Independent,Strategic,Medium,High,Low,Low,Low,Accounting,9,Low,Medium,Medium,Low,Low,Visual,5,Low,Arts,Urban,Yes,Diploma,3.69,Finance,Yes,No,Low,Routine,Low,Medium,5,9â€“5,Hybrid,Low,60kâ€“100k,Security,Yes,20,Yes,Low,Low,High,Low,Low,Consulting
Finance,Flexible,Creative,Low,Low,High,High,Medium,Fine Arts,20,Low,Medium,Low,Medium,Medium,Kinesthetic,1,Medium,Hospitality,Flexible,Yes,Masters,2.41,Healthcare,No,No,Medium,Dynamic,High,Medium,4,9â€“5,Hybrid,Low,<30k,Innovation,Yes,18,No,Low,Low,Medium,Medium,Low,Business
Engineering,Flexible,Strategic,Low,Medium,Medium,High,Low,Public Relations,20,Medium,Medium,Medium,Low,Medium,Auditory,1,High,Education,Flexible,No,Masters,3.14,Retail,No,Yes,Low,Routine,High,Low,1,Freelance,Hybrid,High,>100k,Recognition,Yes,9,No,Medium,High,Medium,Low,Low,Education
Arts,Flexible,Analytical,Medium,Medium,High,Medium,Low,Mathematics,13,High,High,Medium,Medium,Low,Auditory,2,Low,Lawyer,Urban,No,Masters,2.83,Arts,No,Yes,Medium,Dynamic,Low,Medium,2,Freelance,On-site,High,30kâ€“60k,Recognition,No,8,Yes,Medium,High,Medium,Low,High,Therapist
Marketing,Collaborative,Analytical,Low,Medium,High,High,Low,Finance,10,High,High,Medium,Medium,Low,Auditory,0,High,Finance,Rural,No,PhD,3.93,Finance,No,Yes,Low,Dynamic,Medium,High,8,9â€“5,On-site,Low,60kâ€“100k,Helping Others,Yes,2,No,High,High,Low,Medium,Low,Mathematics
Medical,Flexible,Creative,Medium,Medium,High,Low,Medium,Mechanical Engineering,13,Low,Low,Medium,Medium,High,Visual,0,Medium,Engineering,Urban,Yes,Bachelors,2.29,Arts,No,No,High,Dynamic,High,Medium,8,Freelance,Remote,Medium,60kâ€“100k,Innovation,Yes,15,No,Medium,Low,Low,Medium,Medium,Education
Finance,Collaborative,Practical,Low,High,Low,Medium,Low,Psychology,2,Low,High,Low,High,Medium,Auditory,0,High,Finance,Urban,Yes,Masters,2.21,Construction,Yes,No,Medium,Dynamic,Low,Low,3,9â€“5,Remote,High,60kâ€“100k,Helping Others,No,15,Yes,Medium,Low,High,Low,Medium,Biotechnologist
Public Relations,Independent,Practical,Medium,Medium,Medium,High,Medium,Nursing,14,Low,Low,Medium,Low,High,Reading/Writing,4,Medium,Public Relations,Rural,Yes,Masters,3.72,Construction,Yes,Yes,High,Dynamic,Medium,Low,6,Shifts,On-site,Low,>100k,Recognition,No,2,No,Medium,High,Low,Medium,High,Cybersecurity Analyst
Medical,Flexible,Practical,Low,High,Low,High,Medium,Education,3,High,Low,High,High,Medium,Kinesthetic,0,High,Architecture,Flexible,Yes,PhD,3.81,Arts,No,Yes,High,Dynamic,Medium,Low,1,Freelance,Hybrid,Medium,30kâ€“60k,Innovation,No,19,No,High,Medium,Medium,High,Medium,Mechanical Engineer
Doctor,Independent,Strategic,High,High,Medium,Medium,Medium,Accounting,10,Low,High,Medium,Low,Low,Visual,5,Medium,Doctor,Rural,No,PhD,3.43,Retail,No,No,High,Routine,Low,Medium,6,Shifts,On-site,High,<30k,Innovation,Yes,0,No,Medium,Low,Low,Medium,Medium,Arts
Marketing,Independent,Practical,High,Medium,Medium,High,Medium,Information Technology,8,Medium,Medium,High,Medium,Low,Reading/Writing,2,Medium,Legal,Flexible,Yes,Masters,2.83,Tech,No,No,Medium,Routine,Low,Medium,10,9â€“5,Remote,High,30kâ€“60k,Recognition,No,7,No,High,High,High,Low,Low,Social Media Manager
Medical,Independent,Analytical,High,High,Low,Medium,Medium,Political Science,1,Medium,High,Medium,High,Low,Auditory,4,Medium,Legal,Rural,Yes,Bachelors,3.35,Arts,Yes,Yes,Medium,Dynamic,Medium,High,7,9â€“5,Remote,Low,>100k,Helping Others,No,9,No,Low,Low,Low,Medium,High,Logistics Manager
Lawyer,Independent,Practical,Medium,High,Medium,High,Low,Education,18,High,High,Low,Low,Low,Auditory,0,Medium,Finance,Rural,Yes,Masters,2.27,Retail,No,Yes,High,Routine,Medium,Medium,9,Shifts,On-site,Low,>100k,Recognition,No,0,No,Medium,Low,Low,High,Low,Investment Banker
Finance,Independent,Strategic,Medium,Low,Low,Medium,Low,Economics,20,Medium,High,Medium,Medium,Medium,Reading/Writing,5,High,Consulting,Rural,No,Bachelors,2.39,Arts,No,Yes,Low,Dynamic,Medium,Low,3,9â€“5,Remote,Low,<30k,Security,No,15,No,Low,High,Medium,Low,Medium,Finance
Engineering,Independent,Practical,High,Medium,High,Low,Medium,Hospitality Management,2,Medium,Medium,Low,Medium,Medium,Auditory,2,Medium,Architecture,Rural,Yes,Diploma,2.28,Retail,No,No,Low,Routine,Medium,Low,1,Freelance,Remote,High,>100k,Helping Others,Yes,6,Yes,Medium,High,High,Low,Medium,Technology
Mathematics,Independent,Creative,Low,High,Medium,Medium,Low,Journalism,0,Low,Medium,High,Medium,High,Auditory,5,Medium,Hospitality,Urban,Yes,Diploma,3.07,Tech,No,No,High,Dynamic,Medium,Medium,0,9â€“5,Remote,Low,<30k,Helping Others,Yes,16,Yes,High,High,Medium,Medium,Low,Consulting
Lawyer,Independent,Practical,Medium,High,Low,Low,High,Fine Arts,0,High,Medium,Low,High,Medium,Kinesthetic,1,Medium,Consulting,Flexible,Yes,Bachelors,2.95,Education,Yes,No,Medium,Routine,Low,Medium,9,Freelance,Remote,High,30kâ€“60k,Innovation,No,17,No,Low,Medium,Medium,Low,High,UX/UI Designer
Medical,Independent,Analytical,Medium,Medium,Medium,Low,Low,Information Technology,11,Low,Medium,High,High,High,Kinesthetic,5,Medium,Human Resources,Rural,No,Masters,3.09,Tech,Yes,No,Medium,Dynamic,Low,Medium,0,9â€“5,Remote,High,>100k,Recognition,No,12,Yes,Low,Low,High,High,Low,Biotechnologist
Teaching,Collaborative,Strategic,High,Low,Medium,Medium,Medium,Fine Arts,1,High,High,Low,Medium,Low,Auditory,3,Low,Hospitality,Rural,Yes,Bachelors,2.47,Construction,Yes,Yes,Low,Routine,Medium,High,4,Shifts,Hybrid,Low,30kâ€“60k,Helping Others,No,8,No,Medium,High,High,High,Low,Legal
Marketing,Independent,Practical,Low,High,Low,Medium,Low,Civil Engineering,6,High,Medium,High,Medium,High,Reading/Writing,2,High,Lawyer,Urban,Yes,PhD,3.94,Arts,Yes,No,Medium,Routine,Medium,Low,8,Shifts,Remote,High,>100k,Recognition,No,3,No,Low,High,Medium,Low,High,UX/UI Designer
Finance,Independent,Creative,High,High,High,Low,Low,Mechanical Engineering,14,Low,High,Medium,High,Medium,Visual,0,Low,Finance,Urban,No,PhD,2.05,Arts,Yes,Yes,Low,Dynamic,Medium,Low,8,9â€“5,Hybrid,Low,60kâ€“100k,Helping Others,Yes,16,No,Medium,Medium,Medium,Low,Medium,SEO Specialist
Education,Independent,Creative,High,Low,Medium,Low,Medium,Biology,16,High,Medium,Low,Low,High,Reading/Writing,3,Low,Architecture,Rural,No,Bachelors,3.43,Construction,Yes,No,Medium,Routine,Medium,Medium,7,9â€“5,Remote,Low,30kâ€“60k,Recognition,No,17,Yes,Medium,Medium,High,Medium,High,Hospitality
Public Relations,Independent,Strategic,Medium,Medium,Low,Medium,Medium,Economics,15,Medium,High,High,High,Low,Kinesthetic,5,Medium,Finance,Rural,Yes,Diploma,3.73,Law,Yes,Yes,Medium,Dynamic,Medium,High,1,Shifts,Remote,Medium,>100k,Helping Others,No,16,Yes,Medium,Medium,High,Medium,Medium,Hospitality
Sales,Collaborative,Creative,High,Medium,High,Low,Medium,Environmental Science,2,Low,Low,Low,Low,Medium,Visual,3,High,Finance,Rural,No,Masters,2.69,Arts,No,Yes,Medium,Dynamic,Medium,Low,3,9â€“5,Remote,Medium,30kâ€“60k,Helping Others,Yes,16,No,High,Low,Medium,Medium,Medium,Finance
Finance,Independent,Strategic,Medium,High,Medium,Low,Low,Sociology,12,Low,Medium,Low,Medium,High,Kinesthetic,1,Medium,Architecture,Rural,Yes,PhD,2.63,Education,No,No,High,Dynamic,High,Low,4,Freelance,Remote,Low,>100k,Innovation,Yes,18,No,Low,Medium,High,Medium,High,Hotel Manager
Arts,Flexible,Strategic,Low,High,Medium,High,Medium,Education,1,Medium,High,Medium,High,High,Kinesthetic,5,Low,Arts,Urban,No,Masters,2.77,Healthcare,Yes,No,Low,Dynamic,Medium,Medium,7,9â€“5,Remote,Low,<30k,Security,No,1,Yes,Medium,Medium,High,Low,Low,Actuary
Medical,Independent,Practical,Low,High,Medium,Medium,Low,Finance,12,Low,High,Low,High,Medium,Reading/Writing,0,Low,Engineering,Urban,Yes,PhD,2.62,Construction,No,No,Medium,Routine,Low,Low,9,9â€“5,On-site,Medium,>100k,Helping Others,No,12,No,Low,Low,Medium,Medium,Medium,Geologist
Teaching,Independent,Creative,Medium,High,Low,High,Medium,Chemistry,15,Medium,High,Low,High,Low,Visual,2,Medium,Arts,Urban,Yes,Masters,3.16,Retail,Yes,Yes,High,Dynamic,Medium,Medium,6,Shifts,Hybrid,High,60kâ€“100k,Recognition,No,20,Yes,High,Low,Low,Medium,Medium,Medical
Human Resources,Collaborative,Practical,High,High,Medium,Low,Medium,Computer Science,5,High,Low,Low,Medium,Medium,Visual,0,High,Business,Flexible,Yes,Bachelors,2.26,Retail,No,Yes,Low,Dynamic,Low,Medium,0,Shifts,Hybrid,Medium,60kâ€“100k,Recognition,Yes,7,Yes,High,Medium,Low,Medium,Medium,Architecture
Technology,Independent,Practical,Low,Low,Low,High,Medium,History,13,Medium,High,Medium,High,High,Visual,1,Low,Design,Urban,Yes,Masters,3.37,Construction,No,No,Medium,Dynamic,Low,High,7,Shifts,Hybrid,Low,60kâ€“100k,Innovation,Yes,15,Yes,Medium,Medium,High,High,Medium,Marketing
Hospitality,Independent,Analytical,Low,Low,High,Medium,Medium,Political Science,15,Medium,Medium,Low,Low,Medium,Visual,4,Medium,Education,Flexible,No,PhD,2.94,Finance,No,No,Medium,Dynamic,High,High,6,Shifts,On-site,High,60kâ€“100k,Innovation,Yes,18,No,Medium,Low,High,Low,High,Dentist
Business,Collaborative,Strategic,Medium,Low,High,High,Low,Marketing,10,Low,Medium,Medium,Low,Medium,Reading/Writing,1,High,Public Relations,Rural,Yes,Bachelors,2.45,Tech,Yes,No,Medium,Routine,Low,High,0,Freelance,Remote,High,60kâ€“100k,Security,No,19,Yes,Medium,Medium,Low,Low,Medium,Doctor
Legal,Independent,Strategic,Low,Low,Medium,Medium,Low,Computer Science,17,Low,Low,Low,Low,High,Kinesthetic,0,High,Hospitality,Urban,Yes,PhD,2.8,Healthcare,No,No,High,Routine,High,High,8,Freelance,Hybrid,High,>100k,Security,Yes,14,No,Low,Medium,High,Medium,Medium,Entrepreneur
Medical,Flexible,Analytical,Medium,High,Medium,High,Low,Chemistry,2,High,Low,Low,Medium,Medium,Kinesthetic,0,Low,Medical,Flexible,No,Masters,3.34,Tech,No,No,Medium,Dynamic,High,Low,6,Shifts,Hybrid,Low,30kâ€“60k,Helping Others,No,7,Yes,Medium,High,High,High,Low,Design
Medical,Collaborative,Practical,Medium,High,Medium,Low,Low,Journalism,12,Medium,High,Medium,Medium,Medium,Kinesthetic,5,Medium,Human Resources,Urban,Yes,Diploma,2.28,Tech,No,Yes,High,Dynamic,Medium,High,7,9â€“5,Hybrid,Low,30kâ€“60k,Security,Yes,10,Yes,Medium,High,High,Medium,High,Doctor
Finance,Independent,Strategic,High,Low,Low,Low,Low,Graphic Design,7,Medium,Low,Medium,Low,High,Visual,1,Medium,Education,Rural,Yes,Masters,3.7,Finance,Yes,No,Medium,Dynamic,Medium,Medium,10,9â€“5,Hybrid,Medium,30kâ€“60k,Innovation,Yes,20,No,Low,Medium,Medium,High,Medium,Content Writer
Mathematics,Collaborative,Strategic,Low,Medium,Low,High,Medium,Information Technology,16,Low,Medium,Medium,Medium,Medium,Auditory,5,Medium,Finance,Rural,Yes,Diploma,3.72,Finance,Yes,No,High,Dynamic,High,Medium,4,9â€“5,Hybrid,High,>100k,Recognition,Yes,3,No,Medium,Low,Low,Low,High,Civil Engineer
Hospitality,Flexible,Strategic,Medium,Low,Medium,Medium,Medium,Economics,4,Low,Medium,High,Low,Medium,Auditory,4,Medium,Education,Urban,Yes,Bachelors,3.36,Education,No,Yes,Low,Routine,High,Low,9,9â€“5,Remote,High,30kâ€“60k,Innovation,No,16,Yes,High,Medium,Low,Medium,Low,Finance
Journalism,Independent,Practical,Medium,Low,Low,High,Low,History,2,Medium,Medium,Medium,High,Low,Kinesthetic,0,High,Sales,Flexible,No,Bachelors,2.49,Finance,Yes,No,High,Dynamic,High,Medium,9,Shifts,Hybrid,High,30kâ€“60k,Innovation,Yes,0,No,Low,High,Medium,High,Low,Therapist
Human Resources,Collaborative,Practical,Medium,High,High,Low,Medium,Physics,4,Low,Low,Medium,Low,Low,Auditory,0,Medium,Architecture,Urban,Yes,Masters,3.02,Education,Yes,No,Medium,Dynamic,Low,High,2,9â€“5,Hybrid,High,60kâ€“100k,Innovation,No,9,Yes,Low,High,Low,Medium,Low,Marketing
Technology,Independent,Analytical,High,High,Medium,Medium,Low,Medicine,5,Medium,Low,High,Medium,Medium,Reading/Writing,0,High,Legal,Flexible,Yes,Masters,3.04,Construction,Yes,Yes,High,Dynamic,Medium,Medium,8,Shifts,Hybrid,Medium,60kâ€“100k,Recognition,Yes,12,No,High,Low,Medium,Medium,Low,Game Developer
Education,Independent,Analytical,Low,Medium,Medium,High,Low,Engineering,7,Medium,Medium,High,High,High,Auditory,1,Medium,Architecture,Flexible,Yes,PhD,2.24,Law,No,Yes,High,Routine,Medium,High,4,9â€“5,Remote,High,<30k,Helping Others,No,8,Yes,Low,Medium,Low,Medium,Low,Arts
Medical,Collaborative,Analytical,High,Medium,High,Low,High,Education,19,Medium,Low,High,Medium,High,Reading/Writing,0,High,Lawyer,Rural,Yes,Bachelors,3.87,Construction,No,No,Low,Dynamic,Low,Medium,7,Shifts,Hybrid,High,30kâ€“60k,Recognition,Yes,9,No,Medium,High,High,Low,Low,Game Developer
Sales,Independent,Practical,High,Low,High,Medium,Medium,Mechanical Engineering,16,Low,Medium,Medium,Medium,Low,Reading/Writing,3,Medium,Marketing,Flexible,No,Bachelors,2.11,Arts,Yes,No,Low,Routine,High,High,8,Shifts,Remote,Medium,30kâ€“60k,Helping Others,Yes,12,No,Low,High,Medium,Medium,Medium,Astronomer
Sales,Independent,Strategic,Medium,Medium,High,Medium,Medium,Journalism,1,Low,High,Low,Medium,Low,Visual,1,High,Engineering,Flexible,Yes,PhD,3.69,Education,No,Yes,Low,Dynamic,Medium,Medium,0,9â€“5,Remote,High,<30k,Recognition,Yes,10,Yes,Low,Low,Medium,High,Low,Mathematics
Finance,Collaborative,Strategic,High,High,High,High,Medium,Psychology,18,Medium,High,Low,Low,Low,Visual,5,Medium,Technology,Flexible,Yes,Masters,3.4,Construction,No,Yes,Low,Dynamic,Low,Low,6,9â€“5,Remote,Low,>100k,Security,Yes,12,No,Medium,Low,High,Medium,Low,Business
Technology,Independent,Analytical,High,Medium,Low,Medium,Low,Computer Science,9,Medium,Medium,Low,Medium,Low,Visual,4,Low,Arts,Flexible,No,Diploma,2.75,Education,No,Yes,Low,Routine,Medium,Low,6,Shifts,Remote,Low,>100k,Security,No,12,No,High,Medium,Medium,Low,Medium,AI Researcher
Public Relations,Collaborative,Strategic,Medium,High,Medium,Low,Medium,Political Science,9,High,Medium,Medium,Low,Medium,Auditory,3,Low,Teaching,Flexible,Yes,Bachelors,2.34,Finance,Yes,No,Low,Routine,Medium,Medium,8,Shifts,Hybrid,High,>100k,Recognition,No,12,Yes,Low,High,High,High,Low,Medical
Technology,Independent,Practical,High,Medium,Medium,Medium,High,Physics,2,High,High,Medium,Medium,High,Reading/Writing,1,Medium,Consulting,Rural,No,PhD,3.28,Arts,Yes,Yes,Medium,Routine,Low,Medium,7,9â€“5,Remote,Medium,>100k,Security,Yes,14,No,High,Medium,High,High,Low,Engineering
Mathematics,Independent,Strategic,High,High,Medium,Medium,Medium,Physics,19,High,Medium,Low,High,Medium,Reading/Writing,4,Medium,Education,Rural,No,PhD,2.76,Finance,No,Yes,High,Dynamic,Medium,Low,0,9â€“5,On-site,High,>100k,Helping Others,No,9,No,Low,High,Medium,Medium,Medium,Entrepreneur
Teaching,Collaborative,Creative,High,High,Medium,Low,Medium,Environmental Science,10,Low,High,Medium,Medium,High,Auditory,0,Medium,Consulting,Urban,No,PhD,2.35,Tech,Yes,Yes,Low,Dynamic,Medium,Medium,6,Shifts,On-site,Medium,60kâ€“100k,Security,Yes,13,Yes,High,Medium,Low,High,Low,Consulting
Engineering,Independent,Analytical,Low,Medium,Low,Medium,Medium,Chemistry,7,High,Low,High,Medium,Medium,Visual,0,Low,Legal,Urban,No,Diploma,3.62,Finance,Yes,No,Medium,Dynamic,Low,Low,1,9â€“5,Hybrid,Medium,<30k,Helping Others,No,2,No,High,Low,Low,Low,Low,UX/UI Designer
Design,Independent,Creative,Low,High,Medium,High,Medium,Biology,8,Low,Low,Low,Medium,Low,Auditory,4,Low,Lawyer,Rural,Yes,Masters,2.94,Retail,Yes,Yes,Medium,Dynamic,Medium,Low,6,9â€“5,On-site,Low,<30k,Innovation,Yes,5,No,Low,Medium,High,High,Medium,Human Resources
Journalism,Independent,Creative,High,High,High,Low,Medium,Marketing,4,High,Medium,Low,Medium,Medium,Auditory,5,Medium,Doctor,Rural,No,Diploma,2.43,Tech,No,No,High,Dynamic,Medium,Medium,7,Freelance,Hybrid,Medium,60kâ€“100k,Security,Yes,5,Yes,Medium,Medium,Low,Medium,Medium,AI Researcher
Education,Flexible,Strategic,Low,High,Low,Low,Low,Fine Arts,5,Medium,Medium,High,Low,High,Reading/Writing,3,Medium,Legal,Rural,Yes,Diploma,3.65,Retail,No,No,Low,Routine,Low,Medium,3,9â€“5,Hybrid,High,<30k,Recognition,No,16,Yes,Low,Low,Low,Low,Medium,Biotechnologist
Journalism,Collaborative,Strategic,Medium,Medium,Low,Low,Low,Philosophy,11,High,High,Medium,Medium,High,Auditory,0,High,Arts,Urban,No,PhD,3.71,Retail,No,Yes,Low,Routine,Medium,Low,6,9â€“5,Hybrid,High,60kâ€“100k,Innovation,No,13,Yes,High,High,High,Medium,High,Mechanical Engineer
Sales,Flexible,Analytical,Medium,Low,Medium,Medium,Low,Philosophy,0,High,High,Medium,Medium,High,Auditory,3,Low,Medical,Rural,Yes,Masters,2.66,Arts,No,Yes,High,Routine,Medium,Low,1,Freelance,Hybrid,High,30kâ€“60k,Helping Others,Yes,16,No,High,High,Low,Medium,Low,SEO Specialist
Legal,Collaborative,Analytical,Low,High,Medium,Medium,Low,History,15,High,Medium,Medium,High,Medium,Reading/Writing,3,Medium,Doctor,Flexible,Yes,Diploma,3.78,Finance,No,No,Low,Dynamic,Low,High,9,9â€“5,On-site,High,60kâ€“100k,Innovation,Yes,7,No,Medium,Low,Low,High,Medium,Cybersecurity Analyst
Human Resources,Flexible,Practical,Medium,Low,Medium,Medium,Low,Medicine,2,Medium,High,Low,High,Low,Kinesthetic,1,Medium,Engineering,Flexible,Yes,PhD,2.43,Arts,No,Yes,Medium,Routine,High,High,3,Freelance,On-site,High,60kâ€“100k,Innovation,Yes,3,No,Medium,Medium,Medium,Medium,Low,Human Resources
