Interest,Work_Style,Strengths,Communication_Skills,Leadership_Skills,Teamwork_Skills,Decision_Making,Aptitude_Level,Field_of_Study,Years_of_Experience,Adaptability,Time_Management,Problem_Solving,Emotional_Intelligence,Stress_Tolerance,Learning_Style,Certifications_Count,Technical_Skill_Level,Career_Goals,Location_Preference,Willing_to_Relocate,Highest_Degree,GPA,Internship_Experience,Remote_Work_Experience,Risk_Tolerance,Introvert_Extrovert_Score,Creativity_Score,Courses_Completed,Work_Hour_Flexibility,Workplace_Preference,Salary_Expectation,LinkedIn_Portfolio,GitHub_Repos,Public_Speaking_Experience,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Predicted_Career_Field
Database Administrator,Collaborative,Strategic,high,medium,high,high,low,Computer Science/IT,6,high,high,low,medium,low,Auditory,5,medium,Achieve success as a Database Administrator.,urban,yes,diploma,3.11,yes,yes,medium,high,medium,8,freelance,onsite,83929,no,1,yes,medium,low,low,medium,low,Database Administrator
Wildlife Biologist,Collaborative,Strategic,high,medium,low,medium,low,Science,4,low,high,low,low,low,Kinesthetic,4,low,Achieve success as a Wildlife Biologist.,flexible,no,bachelor,3.56,no,no,medium,high,low,9,shifts,hybrid,64435,yes,7,no,low,low,high,high,low,Wildlife Biologist
Physical Therapist,Independent,Strategic,high,high,high,medium,low,Health Sciences,2,high,high,medium,medium,low,Kinesthetic,2,low,Achieve success as a Physical Therapist.,urban,yes,diploma,3.48,no,yes,medium,medium,low,10,freelance,remote,60507,yes,8,yes,high,low,high,low,medium,Physical Therapist
Chef,Collaborative,Creative,low,low,high,low,low,Arts/Hospitality,9,low,high,medium,low,medium,Kinesthetic,4,high,Achieve success as a Chef.,flexible,yes,PhD,3.52,no,no,medium,medium,high,1,9to5,remote,87477,yes,8,yes,low,medium,low,low,medium,Chef
Research Scientist,Flexible,Creative,high,high,high,medium,high,Science,6,medium,low,medium,high,high,Visual,3,low,Achieve success as a Research Scientist.,flexible,no,PhD,3.63,yes,yes,medium,high,medium,10,freelance,remote,95931,yes,2,yes,high,medium,medium,medium,low,Research Scientist
Aerospace Engineer,Flexible,Analytical,low,high,low,high,medium,Engineering,1,low,high,high,low,medium,Kinesthetic,3,medium,Achieve success as a Aerospace Engineer.,rural,no,PhD,2.74,no,no,high,low,medium,5,shifts,remote,98441,yes,0,yes,medium,high,high,high,medium,Aerospace Engineer
Biotechnologist,Flexible,Strategic,high,high,low,medium,medium,Computer Science/IT,6,low,medium,high,medium,low,Auditory,2,high,Achieve success as a Biotechnologist.,urban,no,bachelor,2.99,yes,no,low,medium,medium,1,freelance,remote,78448,yes,6,no,high,high,high,low,low,Biotechnologist
Biomedical Engineer,Collaborative,Strategic,low,high,high,medium,medium,Engineering,7,medium,low,low,medium,high,Visual,2,low,Achieve success as a Biomedical Engineer.,rural,yes,diploma,2.38,yes,no,high,medium,low,2,shifts,onsite,83263,no,1,yes,low,medium,medium,medium,high,Biomedical Engineer
Architect,Flexible,Creative,medium,high,high,high,medium,Engineering,1,low,high,low,high,medium,Visual,0,high,Achieve success as a Architect.,rural,yes,diploma,2.11,no,no,low,high,low,3,shifts,hybrid,60586,no,9,yes,low,high,medium,medium,low,Architect
Event Planner,Flexible,Analytical,high,low,high,high,medium,Finance/Accounting,0,high,low,low,medium,low,Kinesthetic,2,high,Achieve success as a Event Planner.,urban,no,bachelor,3.27,yes,no,medium,low,low,6,9to5,remote,80603,yes,0,no,high,low,low,low,low,Event Planner
Tax Collector,Independent,Strategic,high,high,low,medium,high,Other,5,high,high,low,high,high,Auditory,1,medium,Achieve success as a Tax Collector.,flexible,no,PhD,3.98,yes,yes,medium,low,medium,8,shifts,remote,87754,yes,1,no,low,high,high,high,medium,Tax Collector
Mechanical Engineer,Collaborative,Creative,low,low,low,high,high,Engineering,0,high,low,high,high,high,Reading/Writing,0,medium,Achieve success as a Mechanical Engineer.,urban,no,PhD,3.35,no,no,low,high,high,10,freelance,onsite,62320,no,5,no,medium,low,high,high,low,Mechanical Engineer
Physical Therapist,Collaborative,Analytical,low,high,high,high,low,Health Sciences,10,medium,high,medium,low,low,Kinesthetic,0,medium,Achieve success as a Physical Therapist.,rural,yes,bachelor,2.12,yes,yes,high,high,medium,8,9to5,remote,97650,no,10,no,low,high,low,medium,medium,Physical Therapist
Tax Accountant,Collaborative,Analytical,medium,high,medium,medium,medium,Finance/Accounting,6,medium,low,high,low,low,Kinesthetic,2,high,Achieve success as a Tax Accountant.,urban,yes,master,3.5,no,yes,high,medium,high,9,shifts,remote,82137,yes,0,yes,high,medium,medium,high,high,Tax Accountant
Customs and Border Protection Officer,Collaborative,Analytical,low,medium,high,low,low,Other,4,low,medium,medium,high,low,Reading/Writing,4,medium,Achieve success as a Customs and Border Protection Officer.,flexible,no,diploma,3.54,yes,yes,low,high,medium,8,shifts,hybrid,69235,yes,6,yes,high,low,low,high,medium,Customs and Border Protection Officer
Financial Advisor,Collaborative,Creative,medium,medium,high,medium,medium,Finance/Accounting,3,high,low,high,medium,low,Visual,3,high,Achieve success as a Financial Advisor.,flexible,no,bachelor,3.49,no,no,low,high,medium,10,freelance,onsite,83136,yes,9,yes,high,high,low,low,high,Financial Advisor
Astronomer,Flexible,Strategic,high,low,high,high,low,Science,0,low,low,high,medium,high,Kinesthetic,2,low,Achieve success as a Astronomer.,rural,yes,bachelor,2.32,yes,yes,medium,high,high,4,shifts,onsite,91830,no,4,no,low,low,medium,medium,medium,Astronomer
Airline Pilot,Independent,Creative,medium,low,low,medium,high,Aviation,0,medium,medium,high,low,medium,Visual,3,high,Achieve success as a Airline Pilot.,flexible,no,master,2.11,no,yes,high,medium,high,2,shifts,remote,82267,no,4,no,high,medium,low,low,medium,Airline Pilot
Radiologic Technologist,Independent,Strategic,high,high,medium,high,medium,Computer Science/IT,2,high,low,medium,low,low,Visual,0,low,Achieve success as a Radiologic Technologist.,flexible,yes,bachelor,3.35,no,no,low,low,low,7,freelance,hybrid,65100,no,3,no,medium,medium,high,medium,medium,Radiologic Technologist
Pediatric Nurse,Collaborative,Strategic,medium,high,high,high,low,Health Sciences,9,medium,low,high,high,high,Visual,0,high,Achieve success as a Pediatric Nurse.,urban,no,master,3.73,yes,no,medium,low,high,3,freelance,onsite,77798,yes,7,yes,high,medium,low,high,low,Pediatric Nurse
Wildlife Biologist,Collaborative,Strategic,high,medium,medium,high,medium,Science,8,low,medium,low,medium,high,Reading/Writing,3,low,Achieve success as a Wildlife Biologist.,flexible,no,master,2.03,yes,no,high,low,high,6,9to5,onsite,62705,no,3,no,medium,high,low,high,low,Wildlife Biologist
Sports Coach,Flexible,Strategic,medium,low,low,low,low,Other,4,high,high,low,medium,medium,Kinesthetic,0,high,Achieve success as a Sports Coach.,rural,no,bachelor,3.41,no,yes,medium,medium,high,1,freelance,remote,87018,yes,5,yes,medium,low,medium,high,high,Sports Coach
Graphic Designer,Collaborative,Strategic,medium,high,medium,medium,low,Engineering,9,medium,high,low,high,medium,Kinesthetic,4,high,Achieve success as a Graphic Designer.,flexible,no,PhD,2.16,yes,no,medium,medium,high,2,shifts,onsite,63187,no,6,no,medium,high,low,low,low,Graphic Designer
Mechanical Designer,Collaborative,Analytical,high,low,medium,high,medium,Engineering,2,high,high,medium,high,medium,Auditory,5,low,Achieve success as a Mechanical Designer.,flexible,no,diploma,2.97,no,no,high,high,high,10,shifts,hybrid,95015,no,4,yes,high,high,high,medium,high,Mechanical Designer
Interior Designer,Flexible,Creative,medium,high,low,medium,low,Engineering,4,high,medium,medium,medium,medium,Visual,0,medium,Achieve success as a Interior Designer.,urban,yes,diploma,2.85,yes,no,medium,high,low,4,shifts,hybrid,81088,yes,7,no,low,medium,medium,low,medium,Interior Designer
Tax Accountant,Flexible,Analytical,high,low,high,medium,low,Finance/Accounting,6,medium,high,medium,high,low,Reading/Writing,3,medium,Achieve success as a Tax Accountant.,flexible,no,bachelor,3.49,no,no,low,low,medium,3,9to5,hybrid,71645,yes,5,no,high,medium,high,low,medium,Tax Accountant
Database Administrator,Independent,Creative,low,high,high,high,high,Computer Science/IT,4,medium,low,high,medium,medium,Auditory,3,medium,Achieve success as a Database Administrator.,flexible,no,diploma,3.27,no,no,high,high,high,5,9to5,onsite,78153,no,1,no,low,low,high,medium,low,Database Administrator
HR Recruiter,Collaborative,Analytical,high,high,low,low,low,Computer Science/IT,1,medium,medium,low,low,high,Reading/Writing,4,high,Achieve success as a HR Recruiter.,flexible,no,master,2.83,yes,yes,low,high,high,9,shifts,remote,81341,no,2,yes,medium,high,low,low,high,HR Recruiter
Database Analyst,Collaborative,Analytical,high,low,high,low,low,Computer Science/IT,2,high,medium,high,medium,high,Auditory,3,high,Achieve success as a Database Analyst.,flexible,no,master,3.46,no,no,medium,high,high,7,9to5,remote,81270,no,2,no,low,high,high,high,high,Database Analyst
Robotics Engineer,Collaborative,Strategic,high,low,low,low,low,Engineering,9,low,high,low,medium,medium,Auditory,0,high,Achieve success as a Robotics Engineer.,flexible,no,bachelor,2.07,yes,no,medium,high,low,6,9to5,onsite,86901,no,2,no,medium,medium,high,high,high,Robotics Engineer
Marketing Manager,Independent,Creative,low,high,low,medium,medium,Communications/Marketing,6,high,low,medium,medium,low,Auditory,0,high,Achieve success as a Marketing Manager.,urban,no,bachelor,2.41,no,yes,medium,low,medium,1,shifts,onsite,97556,yes,4,yes,high,low,low,medium,low,Marketing Manager
HR Recruiter,Independent,Strategic,medium,high,high,medium,high,Computer Science/IT,9,medium,medium,high,low,high,Visual,4,medium,Achieve success as a HR Recruiter.,urban,yes,bachelor,2.67,yes,no,low,medium,low,9,shifts,hybrid,67234,yes,0,yes,low,low,low,high,high,HR Recruiter
Urban Planner,Flexible,Strategic,low,high,medium,high,medium,Finance/Accounting,1,high,low,medium,low,low,Kinesthetic,2,medium,Achieve success as a Urban Planner.,flexible,no,master,3.26,yes,yes,low,medium,medium,8,freelance,hybrid,72740,yes,5,no,high,low,high,medium,high,Urban Planner
Product Manager,Independent,Analytical,high,high,medium,low,medium,Other,10,medium,medium,low,high,low,Auditory,1,high,Achieve success as a Product Manager.,rural,no,bachelor,3.82,no,no,high,high,high,9,shifts,remote,68633,no,5,no,high,medium,high,medium,medium,Product Manager
Physician,Flexible,Strategic,high,low,high,medium,medium,Health Sciences,2,low,medium,medium,low,medium,Auditory,2,high,Achieve success as a Physician.,flexible,yes,master,2.32,yes,no,medium,medium,medium,3,9to5,hybrid,87282,no,4,yes,high,high,medium,high,medium,Physician
Tax Collector,Collaborative,Creative,low,medium,high,medium,medium,Other,8,medium,low,low,low,high,Visual,2,medium,Achieve success as a Tax Collector.,rural,yes,master,2.13,no,no,low,medium,high,7,9to5,remote,98307,no,1,yes,high,high,high,high,low,Tax Collector
Foreign Service Officer,Flexible,Analytical,low,medium,high,low,high,Other,9,high,medium,low,low,low,Reading/Writing,2,high,Achieve success as a Foreign Service Officer.,rural,no,diploma,3.81,no,yes,low,medium,low,1,shifts,remote,67530,no,6,yes,high,high,low,high,medium,Foreign Service Officer
Civil Engineer,Independent,Analytical,medium,medium,medium,low,low,Engineering,7,medium,high,medium,medium,medium,Kinesthetic,4,low,Achieve success as a Civil Engineer.,urban,yes,bachelor,2.3,yes,yes,high,high,high,7,freelance,hybrid,85007,yes,7,yes,high,high,medium,high,high,Civil Engineer
Speech Pathologist,Collaborative,Analytical,medium,high,medium,low,medium,Other,0,low,high,high,medium,medium,Kinesthetic,1,medium,Achieve success as a Speech Pathologist.,flexible,yes,master,3.29,yes,yes,medium,high,high,1,freelance,hybrid,93293,no,4,no,high,low,high,medium,high,Speech Pathologist
Urban Planner,Collaborative,Creative,high,high,medium,low,low,Finance/Accounting,9,medium,medium,low,high,medium,Visual,5,high,Achieve success as a Urban Planner.,urban,yes,master,2.32,no,no,low,high,high,3,9to5,hybrid,62634,yes,8,no,medium,high,medium,low,medium,Urban Planner
Rehabilitation Counselor,Independent,Creative,medium,low,low,low,low,Education/Social Sciences,0,low,low,medium,medium,low,Reading/Writing,4,medium,Achieve success as a Rehabilitation Counselor.,rural,yes,bachelor,2.69,no,yes,medium,medium,low,2,freelance,remote,69784,yes,7,yes,medium,low,low,high,high,Rehabilitation Counselor
Astronomer,Collaborative,Creative,high,low,high,low,medium,Science,4,low,low,high,medium,low,Kinesthetic,0,high,Achieve success as a Astronomer.,rural,no,bachelor,3.07,no,no,medium,low,medium,5,freelance,onsite,89997,yes,3,no,low,medium,low,low,medium,Astronomer
Artist,Independent,Analytical,medium,medium,medium,low,high,Arts/Hospitality,8,medium,high,high,high,medium,Kinesthetic,4,high,Achieve success as a Artist.,flexible,yes,bachelor,3.39,yes,yes,low,high,low,4,shifts,onsite,77457,no,0,yes,low,low,low,low,high,Artist
Electrical Engineer,Collaborative,Analytical,high,low,medium,high,low,Engineering,10,low,medium,high,low,high,Reading/Writing,3,medium,Achieve success as a Electrical Engineer.,flexible,yes,PhD,3,yes,no,medium,medium,medium,5,freelance,hybrid,86210,yes,0,no,medium,high,medium,high,high,Electrical Engineer
IT Support Specialist,Flexible,Creative,medium,medium,low,medium,low,Computer Science/IT,7,high,low,low,low,low,Visual,4,low,Achieve success as a IT Support Specialist.,rural,yes,master,2.81,no,no,medium,medium,medium,8,shifts,remote,61169,no,3,yes,low,medium,medium,low,high,IT Support Specialist
Research Scientist,Collaborative,Creative,low,high,medium,medium,high,Science,8,high,low,low,medium,high,Visual,3,medium,Achieve success as a Research Scientist.,urban,yes,PhD,3.2,no,yes,medium,low,medium,0,shifts,onsite,66848,yes,0,no,low,high,medium,medium,low,Research Scientist
Zoologist,Independent,Analytical,high,high,high,high,low,Other,3,high,high,high,medium,low,Kinesthetic,5,low,Achieve success as a Zoologist.,urban,yes,PhD,2.84,no,yes,medium,low,medium,0,freelance,onsite,92449,no,9,no,high,low,medium,medium,medium,Zoologist
Speech Therapist,Independent,Analytical,high,low,medium,low,high,Health Sciences,10,low,low,medium,medium,medium,Visual,1,low,Achieve success as a Speech Therapist.,rural,no,diploma,3.08,yes,no,high,medium,medium,9,shifts,remote,76186,yes,8,no,medium,low,high,high,medium,Speech Therapist
Police Officer,Independent,Analytical,low,low,high,high,medium,Other,4,medium,high,medium,low,low,Auditory,3,high,Achieve success as a Police Officer.,urban,no,master,2.62,yes,yes,low,high,high,5,freelance,hybrid,72226,no,6,yes,high,high,low,medium,medium,Police Officer
Air Traffic Controller,Flexible,Strategic,high,medium,medium,high,low,Aviation,0,low,medium,low,medium,high,Visual,5,low,Achieve success as a Air Traffic Controller.,rural,no,PhD,2.48,no,no,low,medium,high,2,freelance,hybrid,69927,yes,10,no,medium,high,medium,low,medium,Air Traffic Controller
Social Media Manager,Independent,Creative,high,low,high,low,medium,Other,10,medium,high,high,medium,medium,Visual,5,high,Achieve success as a Social Media Manager.,flexible,yes,diploma,3.69,yes,no,medium,high,low,6,9to5,onsite,95491,yes,6,yes,low,high,high,medium,medium,Social Media Manager
Genetic Counselor,Collaborative,Creative,low,medium,medium,low,medium,Education/Social Sciences,5,low,medium,low,medium,medium,Auditory,2,high,Achieve success as a Genetic Counselor.,flexible,yes,diploma,3.45,no,no,high,medium,low,6,freelance,hybrid,64465,no,0,yes,high,low,medium,low,medium,Genetic Counselor
Wildlife Biologist,Flexible,Creative,low,low,high,medium,medium,Science,5,medium,medium,medium,medium,high,Reading/Writing,3,medium,Achieve success as a Wildlife Biologist.,rural,yes,master,3.76,no,yes,low,medium,medium,5,shifts,remote,65347,yes,7,no,low,low,high,low,low,Wildlife Biologist
Marketing Coordinator,Collaborative,Creative,low,high,high,high,low,Communications/Marketing,4,medium,medium,high,low,high,Auditory,4,low,Achieve success as a Marketing Coordinator.,flexible,yes,PhD,3.11,no,no,medium,medium,low,1,freelance,hybrid,72510,no,10,no,high,high,medium,medium,high,Marketing Coordinator
Marine Biologist,Flexible,Creative,high,medium,high,high,low,Science,3,medium,medium,medium,high,medium,Visual,0,medium,Achieve success as a Marine Biologist.,urban,yes,PhD,2.09,yes,no,medium,medium,high,9,9to5,remote,83434,no,9,no,medium,low,medium,medium,high,Marine Biologist
Data Analyst,Collaborative,Analytical,medium,medium,high,medium,medium,Finance/Accounting,6,low,medium,high,low,medium,Visual,5,medium,Achieve success as a Data Analyst.,urban,yes,bachelor,3.85,yes,yes,low,medium,low,10,shifts,remote,64514,yes,3,yes,medium,medium,low,high,low,Data Analyst
Market Research Analyst,Independent,Analytical,low,medium,high,low,low,Finance/Accounting,8,medium,low,medium,medium,high,Visual,1,low,Achieve success as a Market Research Analyst.,urban,yes,master,2.99,yes,no,high,medium,medium,6,freelance,onsite,89295,yes,6,no,medium,medium,medium,high,low,Market Research Analyst
Public Relations Specialist,Collaborative,Analytical,medium,low,medium,medium,high,Communications/Marketing,4,high,medium,high,low,high,Visual,1,high,Achieve success as a Public Relations Specialist.,flexible,yes,bachelor,3.69,no,no,low,high,low,2,freelance,onsite,77911,no,4,no,high,high,high,low,high,Public Relations Specialist
Interior Designer,Independent,Creative,low,medium,high,high,high,Engineering,0,low,high,low,high,low,Visual,2,low,Achieve success as a Interior Designer.,flexible,yes,bachelor,2.07,no,yes,medium,medium,medium,0,shifts,onsite,64234,no,4,yes,medium,high,high,medium,high,Interior Designer
Foreign Service Officer,Flexible,Strategic,medium,medium,high,high,high,Other,7,medium,low,low,high,low,Reading/Writing,2,medium,Achieve success as a Foreign Service Officer.,rural,no,diploma,3.75,no,no,low,low,low,4,shifts,onsite,66248,yes,3,yes,high,low,high,medium,medium,Foreign Service Officer
Teacher,Collaborative,Strategic,high,medium,low,medium,high,Education/Social Sciences,0,high,low,low,medium,low,Reading/Writing,0,medium,Achieve success as a Teacher.,flexible,yes,diploma,3.29,yes,yes,high,medium,high,7,shifts,hybrid,74953,yes,7,yes,high,low,high,medium,high,Teacher
Chiropractor,Independent,Strategic,medium,low,high,medium,low,Health Sciences,4,medium,high,medium,medium,high,Kinesthetic,0,high,Achieve success as a Chiropractor.,rural,yes,bachelor,2.37,no,yes,medium,high,medium,0,shifts,remote,96747,no,9,yes,medium,high,low,low,medium,Chiropractor
Police Officer,Flexible,Strategic,low,medium,low,low,high,Other,1,medium,medium,low,high,medium,Kinesthetic,2,low,Achieve success as a Police Officer.,flexible,no,diploma,3.32,yes,no,medium,low,low,1,shifts,remote,78845,yes,8,yes,medium,high,medium,high,low,Police Officer
Civil Engineer,Independent,Strategic,low,low,low,low,high,Engineering,0,high,high,high,low,high,Reading/Writing,4,high,Achieve success as a Civil Engineer.,rural,no,diploma,2.04,yes,no,low,low,low,7,freelance,hybrid,97474,yes,7,no,medium,high,high,high,low,Civil Engineer
Genetic Counselor,Collaborative,Strategic,medium,high,high,high,medium,Education/Social Sciences,9,medium,low,low,low,medium,Reading/Writing,3,high,Achieve success as a Genetic Counselor.,urban,yes,master,2.03,yes,no,medium,high,low,2,shifts,onsite,66692,no,2,yes,low,low,medium,high,high,Genetic Counselor
Insurance Underwriter,Independent,Creative,low,low,low,high,high,Computer Science/IT,8,high,low,high,medium,medium,Kinesthetic,2,medium,Achieve success as a Insurance Underwriter.,flexible,yes,PhD,2.92,no,yes,medium,high,medium,8,shifts,onsite,77275,no,6,yes,medium,low,high,high,medium,Insurance Underwriter
Software Quality Assurance Tester,Flexible,Creative,high,low,low,low,medium,Computer Science/IT,0,low,high,medium,low,low,Auditory,5,low,Achieve success as a Software Quality Assurance Tester.,flexible,yes,PhD,2.13,no,yes,low,medium,medium,5,9to5,onsite,67110,yes,9,no,high,low,low,medium,high,Software Quality Assurance Tester
Physical Therapist,Independent,Creative,high,low,medium,low,low,Health Sciences,4,high,low,high,high,high,Visual,3,low,Achieve success as a Physical Therapist.,urban,no,bachelor,3.2,no,yes,high,high,medium,0,9to5,hybrid,62077,no,7,no,high,high,medium,low,low,Physical Therapist
Architect,Collaborative,Analytical,high,medium,medium,medium,low,Engineering,1,medium,low,medium,low,low,Reading/Writing,1,high,Achieve success as a Architect.,urban,no,master,2.29,yes,yes,medium,low,low,1,9to5,onsite,79680,yes,6,no,low,high,high,high,medium,Architect
Electrical Engineer,Independent,Analytical,low,low,low,high,medium,Engineering,2,medium,medium,high,low,low,Kinesthetic,5,high,Achieve success as a Electrical Engineer.,urban,no,bachelor,3.83,no,no,low,medium,low,1,9to5,hybrid,62756,yes,0,no,high,high,medium,high,high,Electrical Engineer
Marketing Copywriter,Collaborative,Strategic,low,medium,high,high,high,Computer Science/IT,7,low,low,high,high,medium,Visual,0,medium,Achieve success as a Marketing Copywriter.,flexible,yes,PhD,3.67,no,yes,low,low,high,0,9to5,hybrid,73199,no,9,no,low,high,high,low,high,Marketing Copywriter
Foreign Service Officer,Collaborative,Analytical,high,high,medium,low,low,Other,4,medium,high,medium,low,medium,Kinesthetic,3,medium,Achieve success as a Foreign Service Officer.,flexible,no,bachelor,2.03,yes,no,medium,high,low,4,freelance,remote,98272,yes,8,yes,high,low,low,low,high,Foreign Service Officer
Salesperson,Flexible,Analytical,high,medium,low,high,medium,Other,5,low,high,high,low,low,Visual,2,medium,Achieve success as a Salesperson.,rural,no,master,3.48,no,yes,medium,low,high,5,9to5,remote,93361,no,5,yes,medium,medium,low,low,high,Salesperson
Database Administrator,Flexible,Strategic,medium,low,low,medium,high,Computer Science/IT,1,low,high,high,low,high,Visual,4,low,Achieve success as a Database Administrator.,urban,yes,diploma,2.15,no,yes,high,high,high,0,9to5,hybrid,95983,no,6,yes,low,low,low,medium,medium,Database Administrator
Quality Control Inspector,Collaborative,Creative,medium,high,high,high,medium,Computer Science/IT,9,high,medium,medium,high,medium,Reading/Writing,4,high,Achieve success as a Quality Control Inspector.,urban,no,bachelor,2.64,yes,yes,high,medium,high,1,freelance,remote,88140,yes,4,yes,low,medium,high,low,low,Quality Control Inspector
Construction Engineer,Independent,Strategic,low,low,low,low,high,Engineering,0,high,low,low,high,high,Visual,1,low,Achieve success as a Construction Engineer.,rural,no,diploma,2.06,no,no,low,medium,medium,9,freelance,remote,69507,yes,3,no,medium,low,low,medium,low,Construction Engineer
Forestry Technician,Collaborative,Strategic,low,medium,low,high,low,Other,6,medium,low,low,high,medium,Kinesthetic,5,low,Achieve success as a Forestry Technician.,flexible,no,master,2.31,no,yes,high,low,high,7,9to5,onsite,97120,yes,9,no,high,low,low,high,low,Forestry Technician
Lawyer,Flexible,Creative,low,medium,medium,low,medium,Other,8,high,high,low,high,low,Reading/Writing,4,medium,Achieve success as a Lawyer.,rural,yes,master,3.34,no,no,low,low,high,10,9to5,hybrid,61612,yes,8,yes,low,low,low,medium,medium,Lawyer
Civil Engineer,Collaborative,Creative,high,low,low,high,medium,Engineering,9,high,high,high,high,low,Visual,0,high,Achieve success as a Civil Engineer.,urban,no,master,2.34,no,no,low,low,low,1,freelance,hybrid,99278,yes,9,yes,high,medium,medium,low,low,Civil Engineer
Video Game Tester,Independent,Analytical,low,low,low,medium,high,Other,8,low,low,low,low,high,Kinesthetic,3,high,Achieve success as a Video Game Tester.,urban,no,bachelor,3.79,no,yes,high,high,medium,0,freelance,onsite,99637,yes,1,yes,medium,low,low,low,high,Video Game Tester
Aerospace Engineer,Flexible,Creative,medium,low,high,high,low,Engineering,7,low,medium,low,high,low,Kinesthetic,3,low,Achieve success as a Aerospace Engineer.,urban,no,bachelor,3.15,yes,yes,low,medium,high,8,9to5,hybrid,64691,yes,8,yes,medium,low,low,medium,medium,Aerospace Engineer
Artist,Collaborative,Strategic,medium,high,low,high,low,Arts/Hospitality,3,low,low,low,medium,high,Auditory,3,high,Achieve success as a Artist.,urban,no,PhD,2.89,no,yes,low,high,low,2,freelance,hybrid,92958,no,6,yes,medium,low,medium,high,high,Artist
Industrial Engineer,Independent,Analytical,high,high,high,low,low,Engineering,3,medium,low,medium,high,medium,Auditory,3,high,Achieve success as a Industrial Engineer.,rural,no,bachelor,3.41,yes,yes,high,low,high,8,freelance,onsite,82790,no,0,yes,medium,high,low,medium,high,Industrial Engineer
Air Traffic Controller,Flexible,Analytical,high,high,medium,high,low,Aviation,10,low,medium,high,medium,low,Auditory,0,medium,Achieve success as a Air Traffic Controller.,urban,yes,diploma,2.4,yes,no,low,high,high,2,freelance,hybrid,76152,yes,4,yes,high,low,high,high,high,Air Traffic Controller
Event Photographer,Collaborative,Strategic,medium,low,medium,low,medium,Arts/Hospitality,4,high,high,medium,low,high,Kinesthetic,4,medium,Achieve success as a Event Photographer.,flexible,yes,bachelor,3.99,no,no,low,low,medium,0,shifts,remote,79251,yes,5,yes,high,medium,high,high,low,Event Photographer
Urban Planner,Collaborative,Creative,low,medium,medium,high,high,Finance/Accounting,1,low,low,low,high,high,Auditory,3,high,Achieve success as a Urban Planner.,urban,yes,PhD,3.97,no,no,medium,high,high,0,freelance,hybrid,75196,yes,3,yes,low,medium,high,medium,medium,Urban Planner
Biotechnologist,Flexible,Analytical,low,medium,high,low,medium,Computer Science/IT,2,high,low,medium,medium,high,Reading/Writing,3,high,Achieve success as a Biotechnologist.,rural,no,PhD,2.53,no,no,medium,low,high,5,9to5,remote,79708,no,1,yes,high,medium,medium,low,low,Biotechnologist
Marriage Counselor,Collaborative,Creative,medium,medium,low,low,low,Education/Social Sciences,7,high,low,low,low,low,Visual,0,high,Achieve success as a Marriage Counselor.,urban,no,diploma,2.67,yes,no,high,medium,medium,9,9to5,hybrid,71565,no,8,no,low,high,low,medium,medium,Marriage Counselor
Social Media Manager,Flexible,Creative,high,high,low,high,high,Other,4,low,medium,high,medium,high,Kinesthetic,1,medium,Achieve success as a Social Media Manager.,rural,yes,master,2.14,no,yes,high,medium,high,1,freelance,remote,66325,no,8,no,medium,low,high,low,low,Social Media Manager
Police Officer,Collaborative,Creative,low,low,high,low,medium,Other,6,high,high,low,low,low,Visual,3,high,Achieve success as a Police Officer.,flexible,yes,PhD,2.14,no,no,low,medium,medium,5,9to5,hybrid,75187,no,10,no,medium,high,low,low,low,Police Officer
Marketing Manager,Collaborative,Analytical,medium,high,medium,high,high,Communications/Marketing,4,medium,high,high,medium,high,Visual,5,high,Achieve success as a Marketing Manager.,rural,yes,PhD,3.08,yes,no,high,high,low,1,9to5,onsite,70380,yes,5,no,low,low,high,medium,medium,Marketing Manager
Electronics Design Engineer,Flexible,Creative,low,low,high,medium,low,Engineering,3,medium,low,low,low,high,Reading/Writing,1,low,Achieve success as a Electronics Design Engineer.,rural,no,PhD,3.16,yes,yes,medium,medium,low,5,freelance,hybrid,88646,yes,8,yes,high,low,low,medium,medium,Electronics Design Engineer
Interior Designer,Flexible,Strategic,low,high,low,medium,low,Engineering,1,low,low,medium,medium,low,Kinesthetic,0,low,Achieve success as a Interior Designer.,rural,no,diploma,2.72,no,yes,low,medium,medium,8,freelance,hybrid,78621,yes,3,yes,high,low,low,medium,high,Interior Designer
Forestry Technician,Independent,Analytical,high,low,high,high,medium,Other,3,medium,low,high,high,high,Auditory,4,low,Achieve success as a Forestry Technician.,flexible,yes,PhD,3.8,no,no,high,medium,high,5,shifts,hybrid,83143,yes,6,yes,medium,low,medium,high,low,Forestry Technician
Dental Hygienist,Collaborative,Creative,medium,low,high,high,low,Other,8,low,medium,high,medium,medium,Visual,3,high,Achieve success as a Dental Hygienist.,flexible,yes,bachelor,3.26,no,yes,low,low,high,6,freelance,onsite,64313,no,2,no,low,medium,low,high,low,Dental Hygienist
Game Developer,Collaborative,Strategic,low,high,medium,high,medium,Computer Science/IT,3,low,high,high,medium,low,Kinesthetic,2,high,Achieve success as a Game Developer.,flexible,no,diploma,3.6,no,yes,high,low,high,6,9to5,remote,77283,no,5,no,high,medium,medium,high,low,Game Developer
